bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Have you been feeling more stressed than usual?,"A bit, especially with exams.",Yes. Sleep has been difficult.,"Not really, just tired from training.",I feel overwhelmed some days.,"I’m okay, but I could use advice."
It’s okay to ask for help. What would you like support with?,Anxiety before tests.,Sleep and energy.,Sports recovery.,Eating more regularly.,Managing a fever.
Would you like to talk alone for a minute?,"Yes, that would help.","No, my parent can stay.",Maybe later.,"Yes, please.",I’m fine either way.
How have your mood and energy been this week?,I’ve felt anxious before school.,Mostly stable.,Up and down.,Lower than usual.,Better when I sleep enough.
What usually makes you feel stressed?,Too many messages and notifications.,Not sleeping enough.,Arguments at home.,Feeling behind in class.,School deadlines.
Who can you talk to when you feel low?,A teacher I trust.,A school counselor.,A close friend.,A trusted family member.,I am still looking for someone.
What helps you calm down?,Writing my thoughts down.,Slow breathing.,Talking to someone I trust.,Listening to quiet music.,A short walk.
How can you ask for support politely?,Would you have time to listen later?,I need help with stress management.,Can we discuss how I have been feeling?,I am struggling and need advice.,Could I talk to you for a minute?
Have you been feeling more stressed than usual?,"I’m okay, but I could use advice.","Not really, just tired from training.",I feel overwhelmed some days.,"A bit, especially with exams.",Yes. Sleep has been difficult.
It’s okay to ask for help. What would you like support with?,Sleep and energy.,Eating more regularly.,Managing a sore throat.,Anxiety before tests.,Sports recovery.
Would you like to talk alone for a minute?,"Yes, that would help.",Maybe later.,"No, my parent can stay.",I’m fine either way.,"Yes, please."
How have your mood and energy been this week?,Better when I sleep enough.,I’ve felt anxious before school.,Mostly stable.,Lower than usual.,Up and down.
What usually makes you feel stressed?,Not sleeping enough.,Arguments at home.,School deadlines.,Too many messages and notifications.,Feeling behind in class.
Who can you talk to when you feel low?,A trusted family member.,A teacher I trust.,A close friend.,I am still looking for someone.,A school counselor.
What helps you calm down?,Slow breathing.,A short walk.,Talking to someone I trust.,Writing my thoughts down.,Listening to quiet music.
How can you ask for support politely?,Could I talk to you for a minute?,Can we discuss how I have been feeling?,I am struggling and need advice.,I need help with stress management.,Would you have time to listen later?
Have you been feeling more stressed than usual?,I feel overwhelmed some days.,"A bit, especially with exams.",Yes. Sleep has been difficult.,"Not really, just tired from training.","I’m okay, but I could use advice."
It’s okay to ask for help. What would you like support with?,Managing an allergy.,Eating more regularly.,Sleep and energy.,Sports recovery.,Anxiety before tests.
Would you like to talk alone for a minute?,Maybe later.,"No, my parent can stay.","Yes, that would help.",I’m fine either way.,"Yes, please."
How have your mood and energy been this week?,Lower than usual.,I’ve felt anxious before school.,Better when I sleep enough.,Up and down.,Mostly stable.
What usually makes you feel stressed?,Not sleeping enough.,Too many messages and notifications.,School deadlines.,Arguments at home.,Feeling behind in class.
Who can you talk to when you feel low?,A trusted family member.,A teacher I trust.,A school counselor.,A close friend.,I am still looking for someone.
What helps you calm down?,Listening to quiet music.,Talking to someone I trust.,Writing my thoughts down.,Slow breathing.,A short walk.
