bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Hello! How are you today?,I feel tired.,My tummy hurts.,I am okay.,I am fine.,I feel sick.
Does your tooth hurt?,"No, it is okay.",A little.,It hurts when I move.,"Yes, my tooth hurts.","Yes, it hurts here."
How do you feel?,I feel sick.,I feel better.,I feel hot.,I feel sad.,I feel okay.
Does your tummy hurt?,A little.,It hurts now.,Yes.,"Yes, after eating.",No.
Can I look in your mouth?,Okay.,Please be gentle.,I am ready.,Yes.,"Yes, Doctor."
What is wrong today?,My foot hurts.,I have a cough.,I do not feel well.,I have had a cough since yesterday.,I feel sick.
When did it start?,Last night.,Yesterday.,Two days ago.,This morning.,It started yesterday.
Do you have a fever?,"Yes, since last night.",My mom checked. It was high.,Maybe a little.,"Yes, I feel hot.","No, I do not."
Can you tell me more about your symptoms?,The pain comes and goes.,"I have a sore throat, and it started yesterday.",My head hurts when I move.,It is worse at night.,I also feel tired.
Have you noticed any allergies?,I get itchy in spring.,No known allergies.,I am not sure.,I sneeze near dust.,Some foods make my tummy hurt.
What was your temperature this morning?,It was 38 degrees.,"I felt hot, but we did not check.",I do not know the number.,It was normal.,My mom said it was high.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,My tummy pain started after running.,I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,"I’ve had a runny nose since yesterday, and it’s affecting my sleep."
Are there any red-flag symptoms I should know about?,"No fainting, but I felt dizzy once.",I had a high fever last night.,There’s a new rash on my arm.,No chest pain or breathing trouble.,None that I noticed.
Hello! How are you today?,I feel tired.,I feel sick.,I am okay.,I am fine.,My tummy hurts.
Does your throat hurt?,A little.,It hurts when I move.,"Yes, my throat hurts.","No, it is okay.","Yes, it hurts here."
How do you feel?,I feel better.,I feel sad.,I feel hot.,I feel sick.,I feel okay.
Does your tummy hurt?,A little.,It hurts now.,"Yes, after eating.",No.,Yes.
Can I look in your mouth?,"Yes, Doctor.",I am ready.,Okay.,Please be gentle.,Yes.
What is wrong today?,I have had an allergy since yesterday.,I feel sick.,My chest hurts.,I do not feel well.,I have an allergy.
When did it start?,It started yesterday.,Yesterday.,This morning.,Last night.,Two days ago.
Do you have a fever?,"Yes, since last night.",My mom checked. It was high.,"Yes, I feel hot.","No, I do not.",Maybe a little.
Can you tell me more about your symptoms?,My foot hurts when I move.,I also feel tired.,The pain comes and goes.,"I have dizziness, and it started yesterday.",It is worse at night.
Have you noticed any allergies?,I get itchy in spring.,No known allergies.,Some foods make my tummy hurt.,I sneeze near dust.,I am not sure.
What was your temperature this morning?,It was 38 degrees.,I do not know the number.,It was normal.,"I felt hot, but we did not check.",My mom said it was high.
Please summarize your main concern in one or two sentences.,I need advice on recurring headaches.,"I’ve had a rash since yesterday, and it’s affecting my sleep.",I want to discuss allergy symptoms that keep returning.,I’m here for a follow-up after last week’s visit.,My nose pain started after running.
Are there any red-flag symptoms I should know about?,There’s a new rash on my arm.,No chest pain or breathing trouble.,None that I noticed.,I had a high fever last night.,"No fainting, but I felt dizzy once."
Hello! How are you today?,I am fine.,I feel sick.,My tummy hurts.,I am okay.,I feel tired.
Does your head hurt?,"Yes, my head hurts.","Yes, it hurts here.","No, it is okay.",It hurts when I move.,A little.
How do you feel?,I feel sad.,I feel okay.,I feel sick.,I feel hot.,I feel better.
Does your tummy hurt?,Yes.,"Yes, after eating.",It hurts now.,No.,A little.
Can I look in your mouth?,"Yes, Doctor.",Please be gentle.,I am ready.,Okay.,Yes.
What is wrong today?,I feel sick.,I do not feel well.,I have a cough.,My knee hurts.,I have had a cough since yesterday.
When did it start?,Two days ago.,Last night.,This morning.,Yesterday.,It started yesterday.
Do you have a fever?,"Yes, since last night.","Yes, I feel hot.","No, I do not.",Maybe a little.,My mom checked. It was high.
Can you tell me more about your symptoms?,I also feel tired.,"I have a headache, and it started yesterday.",My back hurts when I move.,It is worse at night.,The pain comes and goes.
Have you noticed any allergies?,I am not sure.,I sneeze near dust.,Some foods make my tummy hurt.,No known allergies.,I get itchy in spring.
What was your temperature this morning?,I do not know the number.,It was 38 degrees.,It was normal.,My mom said it was high.,"I felt hot, but we did not check."
Please summarize your main concern in one or two sentences.,My hand pain started after running.,"I’ve had a sore throat since yesterday, and it’s affecting my sleep.",I need advice on recurring headaches.,I’m here for a follow-up after last week’s visit.,I want to discuss allergy symptoms that keep returning.
Are there any red-flag symptoms I should know about?,No chest pain or breathing trouble.,"No fainting, but I felt dizzy once.",There’s a new rash on my arm.,None that I noticed.,I had a high fever last night.
Hello! How are you today?,I feel tired.,I am fine.,I am okay.,I feel sick.,My tummy hurts.
Does your foot hurt?,A little.,It hurts when I move.,"Yes, it hurts here.","Yes, my foot hurts.","No, it is okay."
How do you feel?,I feel sad.,I feel better.,I feel hot.,I feel okay.,I feel sick.
