bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Hello!,Hi!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!
How are you?,I am happy.,I am great!,I am good.,I am fine.,I am okay.
What is your name?,My name is Eli.,I am Noor.,I am Eli.,I'm Noor.,My name is Noor.
Nice to meet you!,Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you too!
Say goodbye!,Bye-bye!,Good night!,Goodbye!,See you!,Bye!
What color is this?,Purple.,It is purple.,This is purple.,I see purple.,It is green.
What animal do you see?,A fish.,A mouse.,I see a mouse.,It is a mouse.,"Look, a mouse!"
Do you like milk?,"No, I don't like milk.",Yummy!,Yes!,I love milk!,"Yes, I like milk."
What do you want to play with?,I want the ball.,"A teddy, please.",Let's play with the ball.,I like the ball.,"The ball, please."
How many do you see?,There are one.,One.,I see one.,One toys.,Four.
Who is this?,This is Lila.,My mom.,My sister.,It is my mom.,This is my mom.
Where are you?,At the park.,I am at the park.,I am home.,I am at school.,In the farm.
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.
Please say thank you.,"Thank you, friend!",Thanks a lot!,Thank you very much!,Thank you!,Thanks!
"Can I have some juice, please?",Here you are.,"Yes, please.",Okay.,Yes.,Please.
Hello!,Hello!,Hi!,"Hi, friend!","Hello, Benny!",Hi there!
How are you?,I am great!,I am fine.,I am good.,I am happy.,I am okay.
What is your name?,My name is Ana.,I am Ken.,I'm Ken.,I am Ana.,My name is Ken.
Nice to meet you!,Nice to meet you!,Hi!,You too!,Nice to meet you too!,Thank you!
Say goodbye!,Good night!,See you!,Bye-bye!,Bye!,Goodbye!
What color is this?,I see black.,It is green.,This is black.,It is black.,Black.
What animal do you see?,A mouse.,I see a mouse.,"Look, a mouse!",A fish.,It is a mouse.
Do you like milk?,I love milk!,Yes!,Yummy!,"Yes, I like milk.","No, I don't like milk."
What do you want to play with?,Let's play with the ball.,I want the ball.,I like the ball.,"A teddy, please.","The ball, please."
How many do you see?,I see one.,One toys.,There are one.,One.,Four.
Who is this?,This is my mom.,My mom.,It is my mom.,This is Nico.,My sister.
Where are you?,In the farm.,I am home.,I am at school.,At the park.,I am at the park.
What can you do?,I can play.,I can jump.,I can eat.,I can run.,Okay.
Please say thank you.,Thanks a lot!,Thank you!,"Thank you, friend!",Thanks!,Thank you very much!
