bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Who came with you today?,My mom.,My grandma.,My family.,I came with Maya.,My dad.
Can you come back tomorrow?,"Yes, I can.",What time?,"Yes, after school.",Okay.,I need to ask my parents.
Please come back if it gets worse.,"Thank you, Doctor.",I understand.,I will return if needed.,What counts as worse?,"Okay, I will tell my parents."
Would you like a morning or afternoon appointment?,Either is fine.,Morning is better for me.,What times are available?,After school would help.,"Afternoon, please."
"In your own words, what brings you in today?",I think I may have caught a cold.,I’ve had a cough since two days ago.,I feel worse when I exercise.,I need advice about sleeping better.,My chest has been sore.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.","Yes, that’s fine.","Okay, please go ahead.","Yes, but please be gentle.",Can you explain first?
"If you disagree with advice, how can you say that politely?","I understand, but I’m worried about side effects.",Can you explain why that is best?,I’d like a second opinion if possible.,Could we look at another option?,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,Mornings are difficult.,A message reminder would help.,I can come on Friday.,Please text my parent the time.,Next week after school.
Do I have your consent to proceed with the examination?,"I consent, but tell me if anything will hurt.",Can we wait one minute first?,I’d like my parent present.,"Yes, please explain each step.","Yes, you have my consent."
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,"Yes, and I’ll message if anything changes."
Who came with you today?,My family.,My dad.,I came with Yuki.,My grandma.,My mom.
Can you come back tomorrow?,Okay.,"Yes, after school.","Yes, I can.",What time?,I need to ask my parents.
Please come back if it gets worse.,"Okay, I will tell my parents.",I understand.,I will return if needed.,What counts as worse?,"Thank you, Doctor."
Would you like a morning or afternoon appointment?,"Afternoon, please.",What times are available?,After school would help.,Morning is better for me.,Either is fine.
"In your own words, what brings you in today?",I feel worse when I exercise.,My tooth has been sore.,I need advice about sleeping better.,I think I may have caught a cold.,I’ve had a stomachache since two days ago.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.",Can you explain first?,"Yes, that’s fine.","Yes, but please be gentle.","Okay, please go ahead."
"If you disagree with advice, how can you say that politely?",Can you explain why that is best?,Could we look at another option?,"I understand, but I’m worried about side effects.",I’d like a second opinion if possible.,Thank you. I need time to think.
Let’s plan a check-in. What works for you?,I can come on Friday.,Please text my parent the time.,Mornings are difficult.,A message reminder would help.,Next week after school.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.",I’d like my parent present.,Can we wait one minute first?,"I consent, but tell me if anything will hurt.","Yes, please explain each step."
Do you feel ready to leave with a clear plan?,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.,Yes. I understand the next steps.,Yes. Thank you for explaining.,Yes. I’ll book the follow-up now.
Who came with you today?,I came with Maya.,My family.,My mom.,My grandma.,My dad.
Can you come back tomorrow?,I need to ask my parents.,Okay.,"Yes, I can.","Yes, after school.",What time?
Please come back if it gets worse.,What counts as worse?,I understand.,"Okay, I will tell my parents.",I will return if needed.,"Thank you, Doctor."
Would you like a morning or afternoon appointment?,What times are available?,Either is fine.,"Afternoon, please.",Morning is better for me.,After school would help.
"In your own words, what brings you in today?",I feel worse when I exercise.,I think I may have caught a cold.,I’ve had ear pain since two days ago.,My tummy has been sore.,I need advice about sleeping better.
Is it okay if I check your throat?,"Yes, but please be gentle.",Can you explain first?,"Yes, that’s fine.","Okay, please go ahead.","I feel a bit nervous, but okay."
"If you disagree with advice, how can you say that politely?",Could we look at another option?,Thank you. I need time to think.,Can you explain why that is best?,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects."
Let’s plan a check-in. What works for you?,A message reminder would help.,Next week after school.,I can come on Friday.,Mornings are difficult.,Please text my parent the time.
Do I have your consent to proceed with the examination?,"Yes, you have my consent.","I consent, but tell me if anything will hurt.",Can we wait one minute first?,I’d like my parent present.,"Yes, please explain each step."
Do you feel ready to leave with a clear plan?,Yes. I’ll book the follow-up now.,Yes. Thank you for explaining.,Yes. I understand the next steps.,"Yes, and I’ll message if anything changes.",Almost—one more question about dosing.
Who came with you today?,My grandma.,My dad.,My family.,My mom.,I came with Yuki.
Can you come back tomorrow?,"Yes, after school.",Okay.,"Yes, I can.",What time?,I need to ask my parents.
Please come back if it gets worse.,I will return if needed.,What counts as worse?,"Thank you, Doctor.","Okay, I will tell my parents.",I understand.
Would you like a morning or afternoon appointment?,Morning is better for me.,After school would help.,"Afternoon, please.",Either is fine.,What times are available?
"In your own words, what brings you in today?",I feel worse when I exercise.,I need advice about sleeping better.,I think I may have caught a cold.,My foot has been sore.,I’ve had a headache since two days ago.
Is it okay if I check your throat?,"I feel a bit nervous, but okay.","Yes, but please be gentle.",Can you explain first?,"Okay, please go ahead.","Yes, that’s fine."
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,I’d like a second opinion if possible.,Can you explain why that is best?,"I understand, but I’m worried about side effects.",Could we look at another option?
Let’s plan a check-in. What works for you?,Please text my parent the time.,A message reminder would help.,Mornings are difficult.,Next week after school.,I can come on Friday.
Do I have your consent to proceed with the examination?,"Yes, please explain each step.",Can we wait one minute first?,"I consent, but tell me if anything will hurt.",I’d like my parent present.,"Yes, you have my consent."
Do you feel ready to leave with a clear plan?,Yes. I understand the next steps.,Yes. I’ll book the follow-up now.,Almost—one more question about dosing.,"Yes, and I’ll message if anything changes.",Yes. Thank you for explaining.
Who came with you today?,My grandma.,I came with Maya.,My mom.,My family.,My dad.
Can you come back tomorrow?,"Yes, after school.",Okay.,I need to ask my parents.,What time?,"Yes, I can."
Please come back if it gets worse.,"Thank you, Doctor.",What counts as worse?,I will return if needed.,"Okay, I will tell my parents.",I understand.
Would you like a morning or afternoon appointment?,After school would help.,Either is fine.,What times are available?,"Afternoon, please.",Morning is better for me.
"In your own words, what brings you in today?",I think I may have caught a cold.,My knee has been sore.,I need advice about sleeping better.,I feel worse when I exercise.,I’ve had an allergy since two days ago.
Is it okay if I check your throat?,"Yes, but please be gentle.","Okay, please go ahead.",Can you explain first?,"Yes, that’s fine.","I feel a bit nervous, but okay."
"If you disagree with advice, how can you say that politely?",Thank you. I need time to think.,I’d like a second opinion if possible.,"I understand, but I’m worried about side effects.",Could we look at another option?,Can you explain why that is best?
