bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
Hello!,"Hi, friend!","Hello, Benny!",Hi!,Hi there!,Hello!,1,14,21
How are you?,I am happy.,I am great!,I am fine.,I am okay.,I am good.,2,15,21
What is your name?,I am Eli.,I am Noor.,My name is Noor.,I'm Noor.,My name is Eli.,3,11,22
Nice to meet you!,Thank you!,Hi!,Nice to meet you!,Nice to meet you too!,You too!,1,12,23
Say goodbye!,Goodbye!,Bye-bye!,Bye!,See you!,Good night!,1,14,21
What color is this?,It is green.,I see gold.,It is gold.,This is gold.,Gold.,3,10,14
What animal do you see?,I see a tiger.,It is a tiger.,"Look, a tiger!",A tiger.,A fish.,5,25,14
Do you like yogurt?,Yummy!,"No, I don't like yogurt.",I love yogurt!,"Yes, I like yogurt.",Yes!,1,17,11
What do you want to play with?,I like the ball.,"The ball, please.","A teddy, please.",I want the ball.,Let's play with the ball.,3,10,14
How many do you see?,There are one.,One toys.,One.,Four.,I see one.,2,27,15
Who is this?,This is Lila.,It is my mom.,This is my mom.,My mom.,My sister.,1,13,22
Where are you?,I am home.,At the home.,I am at school.,In the farm.,I am at the home.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you!,Thank you very much!,Thanks a lot!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Please.,Okay.,Yes.,Here you are.,7,11,22
Hello!,Hi there!,Hello!,"Hi, friend!",Hi!,"Hello, Benny!",1,12,23
How are you?,I am happy.,I am great!,I am good.,I am fine.,I am okay.,1,14,21
What is your name?,My name is Ana.,My name is Ken.,I am Ken.,I'm Ken.,I am Ana.,2,15,21
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,3,11,22
Say goodbye!,Good night!,Bye-bye!,See you!,Goodbye!,Bye!,1,12,23
What color is this?,It is green.,It is yellow.,This is yellow.,I see yellow.,Yellow.,3,10,14
What animal do you see?,A bear.,I see a bear.,A fish.,It is a bear.,"Look, a bear!",5,25,14
Do you like yogurt?,I love yogurt!,"No, I don't like yogurt.",Yummy!,Yes!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,I like the ball.,"A teddy, please.",I want the ball.,Let's play with the ball.,"The ball, please.",3,10,14
How many do you see?,I see one.,There are one.,Four.,One toys.,One.,2,27,15
Who is this?,My sister.,This is my mom.,This is Nico.,My mom.,It is my mom.,1,13,22
Where are you?,In the farm.,I am home.,I am at school.,At the home.,I am at the home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Please.,"Yes, please.",Okay.,Yes.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi!,Hi there!,"Hi, friend!",3,11,22
How are you?,I am fine.,I am okay.,I am happy.,I am good.,I am great!,1,12,23
What is your name?,I'm Lara.,I am Lara.,I am Rui.,My name is Lara.,My name is Rui.,1,14,21
Nice to meet you!,Nice to meet you!,You too!,Nice to meet you too!,Thank you!,Hi!,2,15,21
Say goodbye!,Goodbye!,See you!,Good night!,Bye!,Bye-bye!,3,11,22
What color is this?,I see pink.,Pink.,It is green.,This is pink.,It is pink.,3,10,14
What animal do you see?,I see a bear.,A fish.,It is a bear.,"Look, a bear!",A bear.,5,25,14
Do you like yogurt?,"Yes, I like yogurt.",I love yogurt!,Yes!,Yummy!,"No, I don't like yogurt.",1,17,11
What do you want to play with?,"The ball, please.","A teddy, please.",Let's play with the ball.,I want the ball.,I like the ball.,3,10,14
How many do you see?,One toys.,I see one.,One.,There are one.,Four.,2,27,15
Who is this?,My mom.,It is my mom.,This is Ana.,This is my mom.,My sister.,1,13,22
Where are you?,I am home.,I am at the home.,I am at school.,At the home.,In the farm.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,Please.,Yes.,"Yes, please.",7,11,22
